"Order","Index","Topic","Argument","Words","Condition_Share","Share","Agreement","Agreement.Contacts","New","Dwell.Time"
18,101,"Er det etisk forkert at se pornografi?","Onani er naturaligt og gavnligt og her er pornografi et brugbart hjælpemiddel",12,0,0,50,50,0,4876
19,149,"Er moderne teknologi er en ulempe for samfundet?","Et samfund bliver sårbart ved at stole for meget på teknologi",9,0,0,99.80401,60.24498,0,4934
20,237,"Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?","Beviser og statistikker tyder på, at de handlinger, vi foretager os, er tilstrækkelige til at håndtere større klimaforandringer",17,0,0,33.59088,42.757,0,8333
21,227,"Bør brugen af plastik undgås?","Så længe det er genanvendeligt, er der intet i vejen med plastik",12,0,0,31.66117,59.03891,0,8603
22,24,"Er mennesker fundamentalt anderledes end andre dyr?","Mennesker har menneskelig bevidsthed, som ontologisk og fundamentalt adskiller sig fra enhver anden form for bevidsthed",16,0,0,82.91906,56.86799,0,9935
23,229,"Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?","Konsekvenserne af global opvarmning udgør en direkte trussel mod det land og miljø, der er nødvendigt for menneskets overlevelse",16,0,0,55.1795,52.64675,0,6593
24,202,"Bør salget af genetisk modificeret mad forbydes?","Genetiske modificerede afgrøder kan bidrage til at reducere verdens sult og ernæringsmæssige mangler",12,0,0,0,26.11326,0,5740
25,190,"Bør religion være involveret i politik?","Næsten alle love er baseret på moralske overbevisninger, derfor er det passende, at religiøse personer deltager i politik",20,0,0,50,50,1,7289
26,115,"Er stråling fra mobiltelefoner og Wi-fi skadeligt?","Effekterne fra strålinger fra mobiltelefoner og Wi-Fi er minimale",11,0,0,37.32969,64.34561,0,6281
27,54,"Hjælper eller skader elektroniske apparater børns udvikling?","Elektroniske enheder kan gavne forældre ved at tilbyde dem større kontrol over deres børns udvikling",13,0,0,20.20352,43.72185,0,7732
28,152,"Er moderne teknologi er en ulempe for samfundet?","Moderne teknologi udvikler sig hurtigere end vores evne til at forstå, formulere og godkende effektive politikker, der kan beskytte os mod teknologisk skade",21,0,0,99.68341,69.4111,0,5093
29,159,"Bør nogle føle sig forpligtet til at ændre sin livsstil for at bekæmpe global opvarmning?","Ændringer i individuelle livsstile gør ingen forskel",9,0,0,25.0278,31.90238,0,2161
30,176,"Bør abort betragtes som mord?","At sidestille abort med mord ville få kvinder til at bruge usikre metoder og sætte deres liv i fare",17,0,0,79.42146,60.4862,0,3610
31,150,"Er moderne teknologi er en ulempe for samfundet?","Teknologi gør det muligt for enkeltpersoner at eje eller kontrollere ejendom på afstand, hvilket mindsker den enkeltes direkte ansvar for ejendommen",19,0,0,50,50,1,4071
32,123,"Er videnskab lig religion?","Videnskab er yderst dynamisk og konstant i udvikling; religioner er normalt statiske og bevarende",13,0,0,68.44625,69.29049,0,3908
33,196,"Bør sexarbejde være lovligt?","Det er umuligt at udrydde sexarbejde som profession. Derfor ville det være bedre at legalisere det",18,0,0,59.40073,59.88316,0,5960
34,281,"Bør der ikke være nogen begrænsning for ytringsfriheden?","Én persons frihed slutter, hvor en andens begynder: stødende og truende tale bør være ulovlig",13,0,0,33.47027,43.36003,0,5339
35,203,"Bør salget af genetisk modificeret mad forbydes?","Et universelt forbud er ikke den rigtige tilgang til at håndtere eventuelle problemer med genetisk modificerede fødevarer",17,0,0,0.06219,38.89758,0,9021
36,289,"Bør vi tilpasse os klimaforandringer i stedet for at forhindre dem?","Tilpasning er en kortvarig løsning, mens afværgelse af klimaforandringer er en langvarig løsning",13,0,0,62.41591,50,1,3469
37,195,"Bør sexarbejde være lovligt?","Regeringen har ikke ret til at forbyde en interaktion mellem samtykkende voksne",12,0,0,75.92387,67.7226,0,3418
38,126,"Er videnskab lig religion?","Undersøgelse af definitionerne af religion viser fokus på guddommelighed og åndelighed, som slet ikke er til stede i vestlig videnskab",20,0,0,100,28.646,0,3705
39,245,"Bør alle stoffer blive legaliseret?","Det har skadet samfund i hele verden at håndhæve kriminialisering af stoffer og bør stoppes",17,0,0,50,50,0,8477
40,56,"Hjælper eller skader elektroniske apparater børns udvikling?","Elektroniske apparater hjælper børn med særlige behov med at læse og skrive ligesom andre børn",12,0,0,95.34156,81.47178,0,2532
41,37,"Er Darwins evolutionsteori filosofi eller videnskab?","Darwins teori har logiske fejl og kan derfor næppe betragtes som videnskab",14,0,0,50,50,0,4677
42,232,"Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?","Hvis afgørende tippepunkter nås, så kan sammenbrud af økosystemer føre til udryddelse af menneskeracen",18,0,0,52.40554,48.42552,0,2882
43,166,"Liv vs. valg: Bør abort være lovligt?","For at opnå kønslig lighed er det fundamentalt, at individer kan kontrollere deres egen reproduktion",15,0,0,49.14916,50,1,3800
44,116,"Er stråling fra mobiltelefoner og Wi-fi skadeligt?","Mobiltelefoner og Wi-Fi udsender ikke-ioniserende stråling, som ikke er skadelig i små doser.",14,0,0,30.4551,57.10921,0,4281
45,222,"Bør brugen af plastik undgås?","Plastik bliver eksporteret, hvorfor et nedsat forbrug af plastik vil reducere CO2-emmisionen, der stammer fra transport",13,0,0,46.3752,50,0,4669
46,221,"Bør brugen af plastik undgås?","Jo mindre plastik vi bruger, desto mindre plastik skal vi producere",12,0,0,79.78328,77.12993,0,2898
47,112,"Er stråling fra mobiltelefoner og Wi-fi skadeligt?","Mobiltelefonstråling absorberes mere af børns hjerner end af voksnes hjerner",13,0,0,53.37039,50,0,3734
48,59,"Hjælper eller skader elektroniske apparater børns udvikling?","Brugen af elektroniske enheder i skolen kan have en negativ indvirkning på børns karakterer",9,0,0,41.0685,38.65636,0,5085
49,136,"Bør et udvælgelseslotteri være en grundlæggende del af demokratiske politiske systemer?","Politik ville være mere repræsentativt under et lotterisystem",9,0,0,50,50,1,2422
50,107,"Er det etisk forkert at se pornografi?","At se pornografi bidrager til overtrædelser af menneskerettighederne, herunder kønslig ulighed",10,0,0,50,50,1,3495
51,199,"Bør salget af genetisk modificeret mad forbydes?","Genetisk modificeret mad udgør en trussel mod sundheden for dem, der indtager det.",11,0,0,100,69.89353,0,2219
52,124,"Er videnskab lig religion?","I modsætning til religion er videnskab baseret på beviser og eksperimentering, hvilket er en mere pålidelig metode til at opnå sandheden",18,0,0,17.30896,67.84321,0,3524
53,119,"Er videnskab lig religion?","Både videnskab og religion bruger personlige erfaringer som en måde at forstå tilværelsen på",13,0,0,71.94384,71.82324,0,2652
54,233,"Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?","Menneskets evolution er langsommere end klimaforandringerne, hvilket gør det svært for mennesker at tilpasse sig klimaforandringer",20,0,0,50,50,1,2983
55,246,"Bør alle stoffer blive legaliseret?","Hvis stoffer blev legaliseret, ville narkohandlen være mindre i stand til at fremme alvorlig kriminalitet",15,0,0,61.20984,56.02374,0,2275
56,157,"Er moderne teknologi er en ulempe for samfundet?","Teknologi har ændret hverdagen til det bedre for altid",9,0,0,33.9527,58.55649,0,2690
57,280,"Bør der ikke være nogen begrænsning for ytringsfriheden?","Ubegrænset ytringsfrihed kan bruges til at sprede hadefulde og/eller skadelige ideologier",13,0,0,50,50,0,3059
58,117,"Er videnskab lig religion?","Videnskab og religion ligner hinanden ved, at begge er blevet brugt til at forklare menneskets oprindelse",17,0,0,50,50,1,1881
59,180,"Bør dyreforsøg forbydes?","Dyreforsøg er en effektiv metode til at teste produkter",9,0,0,19.96231,40.22425,0,3238
60,161,"Bør nogle føle sig forpligtet til at ændre sin livsstil for at bekæmpe global opvarmning?","Mennesker i nutidens samfund bør ændre deres livsstil, fordi livskvaliteten for kommende generationer er lige så vigtig.",19,0,0,99.44219,65.7929,0,2737
61,60,"Hjælper eller skader elektroniske apparater børns udvikling?","Elektroniske enheder kan have en negativ indvirkning på børns sociale og psykologiske udvikling",9,0,0,76.88872,72.78809,0,2456
62,128,"Er videnskab lig religion?","Der findes mange forskellige former for religioner, nogle ligner videnskab, mens andre ikke gør",16,0,0,50,50,1,1889
63,228,"Bør brugen af plastik undgås?","Plastik bliver sandsynligvis erstattet af noget, der er mindre miljøvenligt. Så det ville ikke give mening at undgå brugen af plastik",16,0,0,42.03336,47.94309,0,4171
64,138,"Bør et udvælgelseslotteri være en grundlæggende del af demokratiske politiske systemer?","Politikere valgt gennem lotteri ville være bedre til deres arbejde",10,0,0,23.94233,24.18355,1,4392
65,276,"Bør der ikke være nogen begrænsning for ytringsfriheden?","Isoleret tale kan ikke påføre fysisk skade",9,0,0,50,50,1,2359
66,121,"Er videnskab lig religion?","Både videnskab og religion kræver troen på noget, som du personligt ikke forstår for at fungere",16,0,0,50,50,0,3892
67,288,"Bør vi tilpasse os klimaforandringer i stedet for at forhindre dem?","Menneskeheden har en lang historie med succesfuldt at tilpasse sig til klimaforandringer",11,0,0,66.27532,50,0,2184
68,181,"Bør atomkraft erstatte fossile brændstoffer?","Kerneenergi rummer langt større potentiale end fossile brændsler til at udvikle sig gennem teknologiske gennembrud og øget effektivitet",17,0,0,91.24093,85.4518,0,2141
69,113,"Er stråling fra mobiltelefoner og Wi-fi skadeligt?","Mobiltelefonstråling øger gennemtrængeligheden af blod-hjerne-barrieren",10,0,0,50,50,1,1929
70,212,"Er det etisk forkert at spise kød?","At spise kød  indebærer for det meste en umoralsk og grusom behandling af dyr",15,0,0,100,50,0,2076
71,188,"Bør religion være involveret i politik?","Det er nødvendigt at involvere religion i politik for at sikre, at love og politikker er etiske",15,0,0,18.39442,40.22425,0,1589
72,132,"Hjælper eller skader sociale medier menneskelige relationer?","Sociale medier giver brugerne mulighed for at oprette forbindelse til flere mennesker",9,0,0,66.15472,70.49656,0,3518
73,143,"Bør et udvælgelseslotteri være en grundlæggende del af demokratiske politiske systemer?","At blive udpeget til en magtposition ved lotteri ville efterlade mange mennesker overvældet og uforberedte",16,0,0,73.14991,69.89353,1,2769
74,164,"Liv vs. valg: Bør abort være lovligt?","Mennesker har ret til selvbestemmelse over deres krop og bør kunne træffe et eget valg om, hvad der sker med deres kroppe",21,0,0,100,79.18025,0,3141
75,49,"Skabte et guddommeligt væsen universet?","Videnskaben tilbyder alternative forklaringer på universets oprindelse.",10,0,0,90.39668,80.26571,0,1550
76,220,"Bør brugen af plastik undgås?","Jo mindre plastik vi bruger, desto mindre plastikforurening vil der være",12,0,0,77.49176,72.78809,0,2188
77,198,"Bør sexarbejde være lovligt?","Legalisering af sexarbejde øger dets udbredelse og medfører større skade",12,0,0,28.16357,33.10845,0,2560
78,213,"Er det etisk forkert at spise kød?","Vegetariske kostvaner bidrager direkte og indirekte til bedre sundhedsresultater for alle mennesker",13,0,0,80.50693,41.91275,0,2760
79,62,"Hjælper eller skader elektroniske apparater børns udvikling?","Kedsomhed giver anledning til kreativitet, men med en smartphone keder børn sig aldrig og lærer ikke at være kreative",17,0,0,89.43183,73.27052,0,3209
80,31,"Er Darwins evolutionsteori filosofi eller videnskab?","Der er aldrig blevet dokumenteret et enkelt eksempel på evolution",9,0,0,16.82653,35.39998,0,4051
81,214,"Er det etisk forkert at spise kød?","At afslutte produktionen af kød vil være nødvendigt for at imødekomme det voksende fødevarebehov hos verdens befolkning",20,0,0,35.15877,50,0,1873
82,249,"Bør alle stoffer blive legaliseret?","Stoffer bør forblive forbudt, fordi de er sundhedsskadelige for de personer, der bruger dem",16,0,0,43.84246,50,0,4652
83,158,"Bør nogle føle sig forpligtet til at ændre sin livsstil for at bekæmpe global opvarmning?","Politikere og politiske partier bør være ansvarlige for at vedtage de love og reguleringer, der er nødvendige for at foretage ændringer i en stor skala",19,0,0,68.20503,68.44625,0,2795
84,287,"Bør vi tilpasse os klimaforandringer i stedet for at forhindre dem?","Det er umuligt at stoppe klimaforandringerne og deres påvirkninger",10,0,0,42.63639,47.82248,0,4481
85,155,"Er moderne teknologi er en ulempe for samfundet?","Teknologisk tilbagestående lande har ingen magt på den globale scene",10,0,0,53.24979,50,1,3225
86,236,"Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?","Klimaforandringer sker langsomt. Vi kan tilpasse os inde for den tidsramme",10,0,0,37.69151,50,1,3468
87,219,"Er det etisk forkert at spise kød?","At spise kød er en integreret del af menneskets natur, evolution, fysiologi og biologi, og derfor er indtagelsen af kød naturligt for menneskeheden",20,0,0,65.55168,84.24574,0,2019
88,204,"Bør salget af genetisk modificeret mad forbydes?","GMO'er er mere omkostningseffektive end umodificerede fødevarer og medfører mange fordele",11,0,0,0,41.0685,0,4608
89,290,"Bør vi tilpasse os klimaforandringer i stedet for at forhindre dem?","Hvis vi beslutter os for at tilpasse os klimaforandringerne, vil vi miste evnen til at afværge dem",17,0,0,41.55093,50,1,4667
90,153,"Er moderne teknologi er en ulempe for samfundet?","For at undgå en katastrofe bør teknologisk udvkling følge med den hurtige forandring i vores samfund",17,0,0,50,50,1,3556
91,23,"Er mennesker fundamentalt anderledes end andre dyr?","Mennesker har en følelse af selvbevidsthed og individuel identitet",9,0,0,88.70819,62.2953,0,2456
92,50,"Skabte et guddommeligt væsen universet?","Observationer af Guds skabende kraft er aftaget, efterhånden som menneskeheden har udviklet sig",11,0,0,51.56129,50,1,3006
93,134,"Hjælper eller skader sociale medier menneskelige relationer?","Det er blevet påvist, at sociale medier kan føre til depression hos individer",9,0,0,92.68821,81.47178,0,4760
94,247,"Bør alle stoffer blive legaliseret?","At tage stoffer kan være en vigtig og positiv oplevelse for enkeltpersoner og fællesskaber",13,0,0,54.57646,38.65636,0,3472
95,216,"Er det etisk forkert at spise kød?","Smagen af kød er lækker og giver mange mennesker glæde på en måde, som vegetarisk mad ikke fuldt ud kan efterligne",20,0,0,7.2986,81.47178,0,2191
96,200,"Bør salget af genetisk modificeret mad forbydes?","Genetiske modificerede fødevarer kan være skadelige for miljøet og økosystemer",11,0,0,99.92462,76.64751,0,2127
97,21,"Er mennesker fundamentalt anderledes end andre dyr?","Mennesker er intellektuelt overlegne overfor andre væsener på Jorden",9,0,0,53.73222,62.41591,0,1982
98,184,"Bør atomkraft erstatte fossile brændstoffer?","Der er bekymring vedrørende sikkerheden i forbindelse med kernekraftreaktorer og potentiel fare for aktørerne",13,0,0,24.66598,61.93348,0,5006
99,242,"Vil menneskeskabt klimaforandring føre til menneskehedens udryddelse?","Menneskeskabte kulstofemissioner vil sandsynligvis beskytte mennesker mod en anden istid",12,0,0,24.18355,50,1,2433
100,29,"Er mennesker fundamentalt anderledes end andre dyr?","Genetik beviser, at mennesker grundlæggende ligner andre arter",10,0,0,56.50617,50,0,1150
